title,network,years,feed_access,theme_arcs,description,notable_seasons,why_notable
Legal Docket,Pushkin Industries,2023,early-access-paywall,historical-reconstruction; civil-rights-history; institutional-coverup,"Narrative retellings of pivotal U.S. Supreme Court cases, dramatizing the human stories and legal arguments behind landmark rulings.",,Narrative legal-history entry in Pushkin's growing documentary slate.
Blindspot: The Road to 9/11,"History Channel / WNYC Studios (Pushkin-adjacent, Jim O'Grady)",2021,free-public,espionage-intelligence; institutional-coverup; war-conflict,"Narrative investigative history tracing the decades of missed warnings, intelligence failures, and geopolitical missteps that preceded the September 11 attacks.",,"Acclaimed narrative history series; a WNYC/History Channel co-production (not a confirmed Pushkin title), free on all major apps."
Dr. Death,Wondery,2018–,early-access-paywall,medical-harm; abuse-of-power; survivor-testimony; true-crime,"Narrative investigation into surgeon Christopher Duntsch, whose botched operations maimed and killed patients while a hospital system failed to stop him; later seasons cover other medical-fraud cases.",Season 1 (Christopher Duntsch); Season 2 'Miracle Man' (Paolo Macchiarini's fraudulent trachea transplants); Season 3 'Bad Doctor' (fertility fraud),One of Wondery's flagship true-crime hits; adapted into a Peacock scripted series starring Joshua Jackson.
Dirty John,Wondery / LA Times,2017–,early-access-paywall,charismatic-con-artist; family-secret; survivor-testimony; abuse-of-power,"Adapted from Christopher Goffard's LA Times investigation, the flagship season follows con man John Meehan as he infiltrates and nearly destroys a Southern California family; the anthology continued with other real cons and cases.",Season 1: the John Meehan/Debra Newell story,Massive breakout hit that helped launch Wondery; adapted into a Bravo/Netflix scripted anthology series.
The Shrink Next Door,Wondery / Bloomberg,2019,early-access-paywall,abuse-of-power; financial-scam; charismatic-con-artist,"Journalist Joe Nocera investigates his own former neighbor's psychiatrist, Dr. Isaac Herschkopf, who allegedly manipulated a patient for decades, taking over his business, home, and social circle.",,Adapted into an Apple TV+ limited series starring Will Ferrell and Paul Rudd.
Business Wars,Wondery,2018–,early-access-paywall,business-empire,"Narrated by David Brown, each season dramatizes a corporate rivalry — Nike vs. Adidas, Netflix vs. Blockbuster, Coke vs. Pepsi — tracing the strategy, egos, and stakes behind the fight for market dominance.",Netflix vs. Blockbuster; Boeing vs. Airbus,"One of Wondery's longest-running franchises, credited with popularizing the corporate-rivalry narrative format."
WeCrashed,Wondery,2020,early-access-paywall,corporate-fraud; business-empire; charismatic-con-artist,"Chronicles the meteoric rise and collapse of WeWork under founder Adam Neumann, examining the cult of personality and financial recklessness behind a $47 billion valuation that evaporated.",,Adapted into an Apple TV+ series starring Jared Leto and Anne Hathaway.
Over My Dead Body,Wondery,2020–,early-access-paywall,unsolved-murder; family-secret; true-crime,"An anthology of true stories about ordinary relationships that spiral into murder, from a bitter custody battle to the Joe Exotic/Carole Baskin feud.",Season 1 'Tally' (Dan Markel murder-for-hire); Season 2 'Joe vs. Carole' (Tiger King); Season 4 'Gone Hunting' (Mike Williams disappearance),Season 1 was optioned for TV development; 'Joe vs. Carole' rode the Tiger King wave.
The Apology Line,Wondery,2021,early-access-paywall,personal-mystery; media-internet-culture,"The story of Allan Bridge's anonymous NYC 'Apology Line' answering machine, which became an obsession that consumed his life — told partly by his widow, Marissa Bridge.",,
Even the Rich,Wondery,2018–,early-access-paywall,business-empire; family-secret; media-internet-culture,"Narrative deep dives into wealthy families and celebrity empires — Kardashians, Murdochs, Vanderbilts — examining how fortunes were built and fractured.","'The House of Versace' (Gianni, Donatella, and Santo Versace's fashion empire)",Long-running Wondery culture franchise with millions of downloads per season.
American Scandal,Wondery,2019–,early-access-paywall,political-scandal; corporate-fraud; financial-scam; business-empire,"Lindsay Graham narrates deep dives into pivotal American scandals — Enron, Iran-Contra, Theranos, Watergate — exploring what drives people to break the rules and what happens when they're caught.",Theranos; Enron; Iran-Contra,One of Wondery's flagship narrative-history franchises.
American History Tellers,Wondery,2018–,early-access-paywall,historical-reconstruction; civil-rights-history,"Narrative history covering pivotal American eras and events — the Cold War, Prohibition, the Space Race, the Civil Rights Movement — tracing how they shaped the present.","Series on the Space Race, Prohibition, and the Civil Rights Movement",Flagship Wondery history franchise with dozens of multi-part series.
British Scandal,Wondery,2021–,early-access-paywall,political-scandal; historical-reconstruction,"Hosts Alice Levine and Matt Forde narrate infamous British scandals — political, royal, and celebrity — tracing the lie at the center of each and its fallout.",,
Scamanda,Wondery,2023,early-access-paywall,financial-scam; charismatic-con-artist; religion-faith; media-internet-culture,"Investigates Amanda Riley, a Christian blogger who faked a years-long battle with cancer to defraud her church community and online followers of hundreds of thousands of dollars.",,Became one of Wondery's top-charting shows of 2023.
Do You Know Mordechai?,Wondery,2022,early-access-paywall,charismatic-con-artist; financial-scam; family-secret,"Journalist Kathleen Goldhar investigates Mordechai Horowitz, a charming figure who defrauded friends and family within Toronto's Orthodox Jewish community.",,
Ghost Story,Wondery / Novel,2023,early-access-paywall,unsolved-murder; personal-mystery; family-secret,"Host Tristan Redman investigates ghost sightings in his childhood bedroom, which lead him to uncover his own family's connection to an unsolved decades-old murder next door.",,Won Best Documentary Podcast at the 2024 Ambies; nominated for Best True Crime at the 2024 British Podcast Awards.
Kill List,Wondery / Novel,2024,early-access-paywall,true-crime; tech-gone-wrong; survivor-testimony; media-internet-culture,Tech journalist Carl Miller discovers a murder-for-hire 'kill list' hidden on the dark web and races against time to warn the hundreds of people targeted before police act.,,
Suspect,Wondery / Bloomberg,2022,early-access-paywall,wrongful-conviction; institutional-coverup; unsolved-murder; police-misconduct,"Journalists Matthew Shaer and Eric Benson unravel how a homeless San Jose man, Lukis Anderson, was nearly convicted of a murder he didn't commit after his DNA was innocently transferred to the crime scene by paramedics.",Season 1: Five Shots in the Dark (the case of Emanuel Fair),One of Campside's founding hits; praised for its deep dive into touch-DNA forensics and prosecutorial overreach.
RedHanded,Wondery (distributed),2017–,early-access-paywall,true-crime; serial-killer,Hosts Hannah Maguire and Suruthi Bala research and narrate true-crime cases ranging from notorious serial killers to obscure disturbing mysteries and cults.,,Consistently ranks among the top true-crime podcasts globally.
Against the Odds,Wondery,2019–,early-access-paywall,survivor-testimony; disappearance-missing-persons,"Dramatized true survival stories — a Thai cave rescue, a Somali pirate hostage crisis, plane crash survivors — narrated as immersive first-person accounts.",,
This Is Actually Happening,Wondery (distributed),2016–,early-access-paywall,personal-mystery; survivor-testimony; cult-high-control-group,"First-person narrated true stories of extraordinary, life-altering experiences — near-death events, cult escapes, disasters — told directly by the people who lived them.",,
The Vanished,Wondery (distributed),2016–,early-access-paywall,disappearance-missing-persons; true-crime,"Host Marissa Jones investigates real missing-persons cases through interviews with family, investigators, and witnesses, tracing the circumstances of each disappearance.",,
Killer Psyche,Wondery,2021–,early-access-paywall,serial-killer; true-crime,"Retired FBI profiler Candice DeLong narrates and analyzes notorious criminal cases through the lens of criminal psychology, exploring what drove the killers to act.",,
Sports Explains the World,Wondery,2023–,early-access-paywall,sports-narrative; historical-reconstruction,"Narrative essays connecting famous moments in sports history to broader political and cultural turning points, tracing how sport and history intertwine.",,
Serial,"Serial Productions (This American Life / WBEZ, later The New York Times)",2014–,free-public,wrongful-conviction; true-crime; unsolved-murder; cold-case,"Long-form investigative narrative journalism that returns each season to a real case, opening with Sarah Koenig's re-investigation of the 1999 murder of Hae Min Lee and the conviction of Adnan Syed.","Season 1 (Adnan Syed/Hae Min Lee case) redefined the true-crime genre and became a cultural phenomenon; Season 3 (Cleveland criminal courts) took a systemic, less single-case approach.",First podcast ever to win a Peabody Award; hundreds of millions of downloads; widely credited with launching the modern narrative-podcast boom and helping spur Adnan Syed's case back into the courts.
S-Town,Serial Productions,2017,free-public,personal-mystery; family-secret; institutional-coverup; true-crime,"What starts as a request to investigate a murder in rural Alabama unspools into a sprawling character study of John B. McLemore, a brilliant, tormented clock restorer, and the town he both loved and despised.","Single season, released all at once","Peabody Award winner; over 40 million downloads in its first week, frequently cited as one of the best-reviewed podcasts ever produced."
This American Life,WBEZ Chicago / PRX,1995–,free-public,survivor-testimony; historical-reconstruction; institutional-coverup; personal-mystery,"Weekly themed anthology combining reported narrative journalism, first-person testimony, and audio verité; the show whose reporting DNA and staff seeded Serial and Serial Productions.","""Harper High School"" (two-part 2013 investigation into gun violence at a Chicago school); ""The Giant Pool of Money"" (2008 financial-crisis explainer)",Nine-plus Peabody Awards and the first Pulitzer Prize ever given to a radio/audio program; the direct progenitor of Serial and Serial Productions.
Nice White Parents,Serial Productions / The New York Times,2020,free-public,racial-injustice; institutional-coverup; civil-rights-history,"Chana Joffe-Walt traces the history of one Brooklyn public school across generations to show how the desires and demands of white parents have repeatedly shaped, and undermined, efforts at school integration.",,Widely praised for reframing the failure of school integration as a story about power and whiteness rather than policy alone; major critical acclaim on release.
The Improvement Association,Serial Productions / The New York Times,2021,free-public,political-scandal; racial-injustice; institutional-coverup; civil-rights-history,"Reporter Zoe Chace spends a year in Bladen County, North Carolina, investigating a decade of unsubstantiated election-fraud accusations leveled against a Black political advocacy group.",,"Praised as a sharp, on-the-ground portrait of how election-fraud rumors take root and persist in local politics. (Corrected from early-access-paywall: like other pre-2023 Serial Productions/NYT shows, this released free on all major apps, before NYT Audio's subscription model began.)"
The Trojan Horse Affair,Serial Productions / The New York Times,2022,free-public,institutional-coverup; media-internet-culture; personal-mystery; racial-injustice,"Hosts Brian Reed and Hamza Syed re-investigate an anonymous letter that alleged an Islamist plot to take over Birmingham, UK schools, unraveling the moral panic and ruined careers it triggered.",,"Major awards nominee; notable for the unusually candid on-air friction between its two reporters over the story's framing. (Corrected from subscription-only: released free on all major podcast apps in 2022, prior to NYT Audio's subscription-only model.)"
The Coldest Case in Laramie,Serial Productions / The New York Times,2023,subscription-only,cold-case; unsolved-murder; wrongful-conviction,Pulitzer-winning investigative reporter Kim Barker returns to her Wyoming hometown to re-examine a 1985 unsolved murder and the shaky 2016 arrest of a suspect decades later.,,"Praised for its rigorous, self-interrogating approach to cold-case journalism, including scrutiny of the reporter's own hometown biases. NYT Audio subscription required."
The Good Whale,Serial Productions / The New York Times,2024,subscription-only,science-wonder; environmental-climate,"Daniel Alarcón traces the real-life story behind Keiko, the orca who played the star of Free Willy, and the costly, well-intentioned campaign to release him back into the wild.",,"Widely covered as a surprising, emotionally rich animal-welfare narrative from Serial's team, expanding the studio's subject range beyond crime. NYT Audio subscription required."
The Retrievals,Serial Productions / The New York Times,2023–,subscription-only,medical-harm; survivor-testimony; institutional-coverup,"Investigation into a fertility clinic where patients underwent painful egg-retrieval procedures without adequate anesthesia after a nurse was found diverting fentanyl, examining medical negligence and dismissed patient pain.","Season 2, ""The C-Sections"" (2025), expands the investigation to obstetric pain more broadly.","Peabody Award winner; frequently cited on best-podcasts-of-2023 lists for its restrained, devastating storytelling. NYT Audio subscription required."
Animal,New York Times Audio,2024,subscription-only,science-wonder; environmental-climate,"Writer Sam Anderson travels the world meeting individual animals — an octopus, an owl, a pigeon — to explore what looking another creature in the eye reveals about consciousness and connection.",,"NYT Audio's lyrical, essayistic entry into nature writing as narrative audio, distinct from the studio's crime/institutional-investigation output. NYT Audio subscription required."
Caliphate,The New York Times,2018,free-public,war-conflict; espionage-intelligence; media-internet-culture,"Rukmini Callimachi reports on ISIS's rise and recruitment, centered on a Canadian man's claims of having joined and killed for the group in Syria.",,"Won the first Peabody Award given to a Times-produced podcast, but became a landmark cautionary case in narrative audio after the central source's claims collapsed, prompting an extensive editors'-note retraction and return of a Peabody nomination."
1619,The New York Times Magazine,2020,free-public,civil-rights-history; racial-injustice; historical-reconstruction,"Nikole Hannah-Jones and Times journalists trace how the legacy of slavery, beginning with the 1619 arrival of enslaved Africans in Virginia, shaped American democracy, capitalism, music, land ownership, and healthcare.",,"Audio companion to the Pulitzer Prize-winning 1619 Project; widely taught, debated, and cited in national conversations about how slavery is remembered."
Rabbit Hole,The New York Times,2020,free-public,media-internet-culture; tech-gone-wrong,Tech columnist Kevin Roose follows individuals whose lives and beliefs were reshaped by YouTube's recommendation algorithm to examine how online radicalization actually happens.,,"Early, influential narrative examination of algorithmic radicalization that helped shape mainstream coverage of platform-driven extremism."
Day X,The New York Times,2021,free-public,institutional-coverup; police-misconduct; espionage-intelligence; political-scandal,"Investigates a cache of stolen ammunition and a covert network inside Germany's police and military allegedly preparing for ""Day X"" — the collapse of German democracy — while also revisiting a decade of unsolved neo-Nazi murders.",,"A rare NYT narrative series reported largely from Germany, tracing far-right infiltration of state security institutions."
The Last 12 Weeks,Serial Productions / The New York Times / The Marshall Project,2025,unknown,wrongful-conviction; survivor-testimony; institutional-coverup,"Death-penalty reporter Maurice Chammah embeds with the defense team racing against the clock to stop the execution of David Wood, convicted in 1992 of murdering women and girls near El Paso, Texas.",,"A 2025 collaboration between Serial Productions and The Marshall Project, extending the studio's death-penalty and wrongful-conviction reporting into real-time, high-stakes narrative. Feed access is genuinely unclear: recent Serial Productions/NYT releases have increasingly shifted toward gating within the NYT Audio app rather than a fully open RSS feed."
99% Invisible,Radiotopia / PRX,2010–,free-public,historical-reconstruction; science-wonder,"Roman Mars narrates deeply researched stories about the unnoticed architecture, design, and infrastructure that shapes everyday life, from urban planning failures to the hidden history of everyday objects.","Episodes on the Cape Coral canal scheme, the story of the Doomsday clock, and the 'Value of Nothing' urban-planning stretch",Founding flagship show of Radiotopia; multiple Webby and Edward R. Murrow Awards; one of the most influential and longest-running narrative podcasts in public radio.
Radio Diaries,Radiotopia / PRX,1996–,free-public,historical-reconstruction; survivor-testimony,"Peabody Award-winning producer Joe Richman hands tape recorders to ordinary people and lets them document their own lives, plus produces first-person 'hidden histories' recovered from archival tape.",'Teenage Diaries' original 1996 series revisited decades later; 'Prison Diaries',Multiple Peabody Awards; pioneered the first-person audio diary format later adopted across public radio.
Ear Hustle,Radiotopia / PRX / San Quentin,2017–,free-public,survivor-testimony; racial-injustice; institutional-coverup,"Co-hosted by Nigel Poor and formerly incarcerated Earlonne Woods (later Rahsaan 'New York' Thomas), the show tells first-person stories of daily life inside and after prison, produced in part inside San Quentin State Prison.",Season 1's debut on solitary confinement and cellmates; post-release 'Life After' arc following Earlonne Woods,First podcast created inside a prison; two-time Peabody Award nominee and Pulitzer Prize finalist for Audio Reporting.
The Loop,Radiotopia / PRX,2025–,free-public,survivor-testimony; institutional-coverup,"A spinoff from the Ear Hustle team continuing narrative reporting on incarceration, reentry, and the systems that keep people cycling through prison.",,New Fall 2025 Radiotopia series extending Ear Hustle's Peabody-nominated reporting tradition.
The Memory Palace,Independent / Radiotopia,2008–,free-public,historical-reconstruction,"Nate DiMeo writes and narrates short, lyrical, meticulously researched essays that resurrect forgotten corners of American history — an overlooked inventor, a vanished neighborhood, a single strange death.",Episodes later adapted into the National Portrait Gallery installation and the book 'The Memory Palace',Widely cited as one of the most stylistically influential narrative-history podcasts; praised by critics for its prose-poem approach to history.
The Kitchen Sisters Present,Radiotopia / PRX,2014– (predecessor Hidden Kitchens/Lost & Found Sound since 1979),free-public,historical-reconstruction; music-history,"Davia Nelson and Nikki Silva produce lush nonfiction sound-portraits from the margins of history — lost recordings, hidden subcultures, secret kitchens, and people possessed by an obsession or mission.",'The Keepers' series on unsung archivists and collectors; 'Hidden Kitchens' cross-country oral-history arc,Multiple Peabody Awards and a MacArthur-adjacent reputation for pioneering feature-documentary sound art on public radio over four decades.
Love + Radio,Independent / formerly Radiotopia,2005–,free-public,charismatic-con-artist; personal-mystery; family-secret,"Nick van der Kolk builds intimate, formally experimental character studies from raw interview tape — con artists, extremists, outsiders, and people living at the edge of ordinary morality — without narration to soften the story.",'The Living Room' and 'Judge Not' episodes are frequently cited as genre-defining,"Repeatedly named one of the best podcasts ever made by Vulture and The Atlantic for its radical, unmediated interview-collage style."
Articles of Interest,Radiotopia / PRX,2018–,free-public,historical-reconstruction,"Avery Trufelman reports narrative-history deep dives into clothing and fashion — school uniforms, Hawaiian shirts, the fabric of American identity — tracing how what we wear encodes power and culture.","Season 2 'American Ivy' on the history of the preppy aesthetic, later expanded into a book",Spun off from 99% Invisible into its own acclaimed Radiotopia show; Season 2 became a bestselling book.
Criminal,PRX (Vox Media Podcast Network),2014–,free-public,true-crime; wrongful-conviction; personal-mystery; institutional-coverup,"Long-running narrative anthology exploring people who have done wrong, been wronged, or been caught somewhere in the middle, ranging far beyond typical true-crime tropes into legal and cultural oddities.",'The Verdict' project on jury deliberation; long-running episodes on wrongful conviction cases,One of the original and most acclaimed narrative crime podcasts; multiple Webby Awards and a devoted critical following since 2014.
This Is Love,PRX (Criminal Content Co.),2017–,free-public,personal-mystery; survivor-testimony,"From the makers of Criminal, narrative-documentary stories of sacrifice, devotion, and obsession — investigating love in its many, sometimes unsettling, forms.",,Sister show to Criminal from the same acclaimed production team.
Mumbai Crime,Radiotopia Presents / Goldhawk Productions,2023–,free-public,true-crime; unsolved-murder,"John Scott Dryden and Ayeesha Menon report immersive true-crime narrative journalism recorded on the streets of Mumbai, following real investigations and the detectives who worked them.",Debut season on a high-profile Mumbai murder investigation,"Part of Radiotopia Presents, the network's home for premiering artist-owned limited series."
Proxy,Radiotopia / PRX,2023–,free-public,personal-mystery,"Yowei Shaw (formerly of Invisibilia) pairs people facing a personal dilemma with a stranger who's lived through the closest possible version of it, following the resulting conversation as narrative documentary — described as 'emotional investigative journalism.'",,"New Radiotopia series from a former Invisibilia co-host, welcomed to the network in 2025."
70 Million,Lantigua Williams & Co. / PRX,2019–,free-public,institutional-coverup; racial-injustice; abuse-of-power,Mitzi Miller hosts narrative journalism examining the U.S. money bail system and pretrial detention through the stories of people caught inside it.,Debut season investigating cash bail's role in mass incarceration,Acclaimed criminal-justice-reform narrative journalism distributed through PRX.
Uncuffed,PRX / KALW,2020–,free-public,survivor-testimony; racial-injustice,"Narrative documentary journalism produced by incarcerated and formerly incarcerated reporters inside California state prisons, telling first-person stories of life on the inside.",,Peabody Award-winning; one of the few narrative shows fully reported and produced from within the prison system.
Song Exploder,Radiotopia / PRX,2014–,free-public,music-history,"Musicians deconstruct one of their own songs track by track, narrating the creative and technical choices behind it in their own unmediated voice — presented as pure narrative with no host questions audible.","Episodes with Lin-Manuel Miranda, R.E.M., and Best Original Song Oscar-nominated composers",Adapted into a Netflix documentary series; a Webby and Podcast Award winner and one of Radiotopia's most popular shows.
The Shadows,Radiotopia Presents / Kaitlin Prest,2021–,free-public,personal-mystery; family-secret,"Kaitlin Prest (The Heart) narrates an intensely personal documentary series tracing patterns of intimacy, heartbreak, and family inheritance across her own relationships.",,"From the creator of The Heart, praised for its formally daring first-person documentary style."
The Heart (formerly Audio Smut),Radiotopia,2008–2019,free-public,personal-mystery,"Kaitlin Prest's narrative documentary anthology explored intimacy, sex, and relationships through intensely personal, sound-designed first-person stories.",'Season Twenty Gayteen' exploring queer relationships and identity,"Influential in shaping the confessional, sound-rich style later seen across narrative podcasting; multiple award nominations."
Strangers,Independent / originally Radiotopia,2013–2019,free-public,personal-mystery,"Lea Thau narrated intimate true stories of chance encounters, connection, and estrangement between people — one of Radiotopia's seven founding shows.",Original 2013–14 seasons that helped define Radiotopia's launch lineup,One of the network's original founding shows at Radiotopia's 2014 launch alongside 99% Invisible and Love + Radio.
Snap Judgment,PRX / WNYC,2010–,free-public,personal-mystery; survivor-testimony,"Glynn Washington hosts a narrative storytelling anthology of first-person true stories — mystery, romance, adventure, and tragedy — told with a distinctive music-and-beat-driven sound design.",'Snapped' true-crime spinoff episodes; long-running 'Suspect' story arcs,Long-time PRX-distributed narrative storytelling institution; multiple Peabody Award nominations.
The Polybius Conspiracy,Radiotopia Presents,2020,free-public,personal-mystery; media-internet-culture,"A limited-run narrative-mystery investigation into the urban legend of 'Polybius,' a supposedly mind-control-linked 1980s arcade game, following the reporter as she tracks down the truth behind an internet myth.",Single-season limited series,Distinctive Radiotopia Presents limited series blending internet-folklore mystery with reported journalism.
Embedded,NPR,2015–,free-public,true-crime; institutional-coverup; abuse-of-power; political-scandal,"NPR's flagship documentary strand — each season a producer goes deep on one story, from gun violence aftermath to abortion access to political extremism, told scene-by-scene with tape from the ground.",We Keep Us Safe (2026); The Alabama prison riot arc that became White Lies S2; The Black Gate; A Good Guy,Named one of Time's 100 Best Podcasts; consistently ranked among top documentary journalism podcasts.
Invisibilia,NPR,2015–2023,free-public,science-wonder; personal-mystery,"Narrative science-and-storytelling show fusing personal stories with research on the unseen forces (belief, categorization, emotion) that shape human behavior.",,Long-running NPR flagship narrative show; ended in 2023 budget cuts after nearly a decade.
Rough Translation,NPR,2017–2023,free-public,war-conflict; immigration,"Followed familiar American conversations and debates into unfamiliar territory abroad, reported internationally with a narrative, story-first approach.",Home/Away (Ukraine); Traveling While Black,Peabody-nominated international narrative journalism; canceled in NPR's 2023 layoffs.
Believed,Michigan Radio / NPR,2018,free-public,survivor-testimony; abuse-of-power; institutional-coverup; sports-narrative,"Investigative series on the Larry Nassar sexual abuse scandal within USA Gymnastics, following the survivors who exposed him and the institutional failures that enabled decades of abuse.",,Peabody Award winner; widely credited with shaping national reporting on the Nassar case.
White Lies,NPR / Embedded,2019–2022,free-public,cold-case; civil-rights-history; unsolved-murder; racial-injustice,"Two Alabama journalists reinvestigate the unsolved 1965 murder of civil-rights activist Rev. James Reeb, uncovering decades of buried evidence and lies.",Season 1: The Reeb murder; Season 2: 1991 Alabama prison riot,Peabody Award winner; major critical acclaim for cold-case civil-rights reporting.
Buried Truths,WABE / NPR,2018–,free-public,cold-case; racial-injustice; civil-rights-history,Pulitzer-winning journalist Hank Klibanoff digs into cold cases of racial violence and injustice in the Jim Crow-era American South.,Season 1: Isaiah Nixon murder; multiple subsequent seasons on other buried cases,Hosted by a Pulitzer Prize–winning historian; praised for meticulous historical reconstruction.
Louder Than a Riot,NPR Music,2020–2023,free-public,music-history; racial-injustice; institutional-coverup; abuse-of-power,"Traces the intertwined rise of hip-hop and mass incarceration in America, following artists whose careers collided with the criminal justice system.",Season 1: hip-hop and incarceration; Season 2: misogyny and hip-hop,"NPR Music's first narrative podcast; widely praised, ended in 2023 layoffs."
Radio Ambulante,NPR / Radio Ambulante Estudios,2012–,free-public,immigration; historical-reconstruction; family-secret; survivor-testimony,"Longform narrative journalism in Spanish telling character-driven stories from across Latin America and Latino communities, covering everything from crime to migration to everyday life.",Episodes on the Chilean dictatorship's disappeared; the Zetas cartel; Cuban rafters,First Spanish-language show to win a Peabody Award (2019); longest-running Spanish narrative journalism podcast.
